category,name,year,url,image_url
Abstract Strategy,"Der ""Schnickle Fritz""",2012,https://boardgamegeek.com/boardgame/452717/der-schnickle-fritz,https://cf.geekdo-images.com/Lq5N9rRtD6Slx5pOWwsyFA__opengraph/img/UIr5nHkZPkVpOEOA8XS7h89wVV8=/104x0:3327x1692/fit-in/1200x630/filters:strip_icc()/pic9059800.jpg
Abstract Strategy,The $tock Exchange Game,2017,https://boardgamegeek.com/boardgame/227936/the-dollar-tock-exchange-game,https://cf.geekdo-images.com/y19FNG-kEMSij7ZRWO6o_Q__opengraph/img/9dDg8zUsH73akJu6lJ4aCWxJpaM=/0x106:1055x660/fit-in/1200x630/filters:strip_icc()/pic3576665.jpg
Abstract Strategy,0·1 (Zero Point One),2012,https://boardgamegeek.com/boardgame/114307/01-zero-point-one,https://cf.geekdo-images.com/nV-y-yT0IaAsvAoP_lrM6A__opengraph/img/2NiB2YtixeOCdeVvms2iuFM8oGY=/0x152:509x419/fit-in/1200x630/filters:strip_icc()/pic2518638.png
Abstract Strategy,007,1965,https://boardgamegeek.com/boardgame/12751/007,https://cf.geekdo-images.com/N1XpYEaPP7Yn7K9Yqp2quQ__opengraph/img/3xyCYZYX8i4YTlXldtnIdkvF6Jw=/0x99:500x361/fit-in/1200x630/filters:strip_icc()/pic170016.jpg
Abstract Strategy,1 contra 4,1938,https://boardgamegeek.com/boardgame/26347/1-contra-4,https://cf.geekdo-images.com/nXCgEkQd7oOc0r9fc1cW1w__opengraph/img/ko4lrWhz7ecy-KkRP2M6GxMfgFc=/0x0:3264x1714/fit-in/1200x630/filters:strip_icc()/pic2909068.jpg
Abstract Strategy,The 1 Game,1994,https://boardgamegeek.com/boardgame/17832/the-1-game,https://cf.geekdo-images.com/bEDhnel9-btH9MxCvOt_xA__opengraph/img/AIIir04WDlKzy6EbuGc6pI9ZhLk=/0x767:1842x1734/fit-in/1200x630/filters:strip_icc()/pic183996.jpg
Abstract Strategy,1 Stein + Co.,2003,https://boardgamegeek.com/boardgame/8965/1-stein-plus-co,https://cf.geekdo-images.com/0C_jVkKVlMwPMpCCtrRpHQ__opengraph/img/kSmd7xdURYHAy8xls_4XTUpb1ts=/0x0:1893x994/fit-in/1200x630/filters:strip_icc()/pic296204.jpg
Abstract Strategy,1 vs. 100 Board Game,2006,https://boardgamegeek.com/boardgame/31136/1-vs-100-board-game,https://cf.geekdo-images.com/pm-o-w-tdxKzwEXyLtGWlA__opengraph/img/FFMWzK8xOvBRv2yLBcJGZ7caMbc=/0x518:2304x1728/fit-in/1200x630/filters:strip_icc()/pic434718.jpg
Abstract Strategy,10 Brettspiele,1981,https://boardgamegeek.com/boardgame/25214/10-brettspiele,https://cf.geekdo-images.com/xCuDIXSw82u-R6c_6Zo0Xw__opengraph/img/eQVvFmYP22qXZhNwzpuGV9FZZHU=/0x0:600x315/fit-in/1200x630/filters:strip_icc()/pic142945.jpg
Abstract Strategy,10 by 10,2014,https://boardgamegeek.com/boardgame/157950/10-by-10,https://cf.geekdo-images.com/jhqDUtplqHLVjMJ_g3Hj6g__opengraph/img/1Upe8Y0Tb0QJKbMR2TiF2-236sw=/0x302:1417x1046/fit-in/1200x630/filters:strip_icc()/pic1997316.jpg
Abstract Strategy,10 UP!,2014,https://boardgamegeek.com/boardgame/201559/10-up,https://cf.geekdo-images.com/crHw795w0mn8BUmJjX6U4g__opengraph/img/I7lyQS_bEHgpzNUtlP4d4RHGXsM=/0x0:1055x739/fit-in/1200x630/filters:fill(blur):strip_icc()/pic5201615.png
Abstract Strategy,100 Other Games to Play on a Chessboard,1983,https://boardgamegeek.com/boardgame/20605/100-other-games-to-play-on-a-chessboard,https://cf.geekdo-images.com/7mOJmGgVR0ShF0SvJQwXqw__opengraph/img/bZQs3WIlHlWjuGBO9vmyZogrOU4=/0x0:1161x610/fit-in/1200x630/filters:strip_icc()/pic109758.jpg
Abstract Strategy,100 Points Hold'em,2010,https://boardgamegeek.com/boardgame/69780/100-points-holdem,https://cf.geekdo-images.com/4ugGbkv4Uo1z0TawhRkovg__opengraph/img/JohEIcLvz78eWSfUdCf1PHBuz_o=/0x0:234x123/fit-in/1200x630/filters:strip_icc()/pic1200493.png
Abstract Strategy,100 Points Prediction,2010,https://boardgamegeek.com/boardgame/69781/100-points-prediction,https://cf.geekdo-images.com/YvTUN0RBnEFdzKHaeLaf0A__opengraph/img/uENmCOLduykcjKHIOCZhTrkww8c=/0x30:335x206/fit-in/1200x630/filters:strip_icc()/pic1175673.jpg
